Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal,Algoritmo
335544320,2,29.84265900,0.13935300,29.84458800,0.13943800,Merge+Bubble
671088640,6,60.41407200,0.03146500,60.42545500,0.03135200,Merge+Bubble
1342177280,8,128.73936500,0.92111200,136.60562000,3.96065700,Merge+Bubble
3,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
5,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
10,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
20,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
40,1000,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Insertion
80,70,0.00000000,0.00000000,0.00000100,0.00000000,Merge+Insertion
160,100,0.00000100,0.00000000,0.00000100,0.00000000,Merge+Insertion
320,70,0.00000100,0.00000100,0.00000200,0.00000000,Merge+Insertion
640,60,0.00000300,0.00000000,0.00000400,0.00000000,Merge+Insertion
1280,26,0.00000800,0.00000000,0.00000800,0.00000000,Merge+Insertion
2560,90,0.00005200,0.00000200,0.00005300,0.00000200,Merge+Insertion
5120,90,0.00013900,0.00000100,0.00013900,0.00000100,Merge+Insertion
10240,80,0.00032200,0.00000200,0.00032200,0.00000300,Merge+Insertion
20480,100,0.00072000,0.00000300,0.00072000,0.00000300,Merge+Insertion
40960,90,0.00158900,0.00000600,0.00158900,0.00000600,Merge+Insertion
81920,100,0.00344200,0.00001500,0.00344200,0.00001500,Merge+Insertion
163840,80,0.00737800,0.00001900,0.00737900,0.00001900,Merge+Insertion
327680,80,0.01573500,0.00006100,0.01573600,0.00006100,Merge+Insertion
655360,90,0.03365000,0.00086700,0.03365200,0.00086700,Merge+Insertion
1310720,100,0.07101700,0.00100100,0.07102100,0.00100100,Merge+Insertion
2621440,80,0.15035700,0.00041500,0.15036400,0.00041500,Merge+Insertion
5242880,100,0.31724000,0.00055300,0.31727100,0.00055200,Merge+Insertion
10485760,100,0.66777400,0.00082000,0.66789400,0.00082200,Merge+Insertion
20971520,80,1.40386200,0.00215000,1.40397500,0.00214700,Merge+Insertion
41943040,80,2.94597600,0.00432700,2.94641700,0.00505700,Merge+Insertion
83886080,100,6.15122600,0.00854300,6.15194300,0.00861500,Merge+Insertion
167772160,100,12.85406200,0.01805600,12.85731500,0.02721100,Merge+Insertion
335544320,100,27.73642900,0.28230700,27.73850200,0.28207700,Merge+Insertion
671088640,90,56.34850800,0.04175000,56.35950000,0.04149500,Merge+Insertion
1342177280,90,121.34179800,0.49595900,129.81026600,2.02545700,Merge+Insertion
